12,18,F,97,24
26,18,F,323,85
31,18,M,190,47
32,18,M,284,113
41,18,M,228,25
42,18,M,68,6
43,18,F,88,33
44,18,F,220,33
45,18,M,285,25
46,18,M,120,22
47,18,M,655,62
49,18,M,422,176
53,18,F,194,38
54,18,M,197,0
55,18,M,203,101
56,18,F,320,179
57,18,M,313,9
58,18,F,17,4
60,18,M,64,27
61,18,M,92,12
62,18,M,68,24
64,18,F,272,28
78,18,F,59,35
80,18,F,369,19
81,18,F,225,57
84,18,M,168,49
88,18,M,444,234
90,18,M,214,12
91,18,M,211,70
92,18,F,440,259
95,18,F,447,65
96,18,F,175,29
97,18,F,203,55
98,18,F,426,265
100,18,M,263,127
102,18,F,127,25
104,18,F,303,175
105,18,M,327,34
106,18,F,162,21
107,18,M,200,29
108,18,M,152,39
109,18,F,207,94
110,18,M,185,86
232,18,M,169,27
233,18,F,197,51
234,18,F,137,12
235,17,M,189,36
236,18,M,214,71
237,18,F,285,116
